Province/State,Country/Region,January,February,March,April,May,June,July,August,Total_confirmed
,Afghanistan,0,6,1219,27237,225655,750884,1077445,1124885,3207331
,Albania,0,0,2232,15632,28873,50880,119660,220765,438042
,Algeria,0,5,4823,69497,211394,337819,674286,1140582,2438406
,Andorra,0,0,2787,19106,23498,25511,27174,30206,128282
,Angola,0,0,48,601,1639,4660,20049,56506,83503
,Antigua and Barbuda,0,0,61,617,776,1026,2366,2787,7633
,Argentina,0,0,6529,77576,275556,1091252,3728771,8826428,14006112
,Armenia,0,0,4099,36511,151445,520967,1026463,1242308,2981793
Australian Capital Territory,Australia,0,0,579,3028,3314,3235,3470,3390,17016
New South Wales,Australia,23,116,15757,84561,95130,94155,109877,117956,517575
Northern Territory,Australia,0,0,126,815,897,870,955,990,4653
Queensland,Australia,6,136,6277,29303,32606,31929,33242,32894,166393
South Australia,Australia,0,58,2675,12734,13609,13206,13787,13808,69877
Tasmania,Australia,0,0,565,4666,7027,6840,7080,6890,33068
Victoria,Australia,9,119,6924,37825,47713,54306,173438,489816,810150
Western Australia,Australia,0,2,2776,15274,17329,18070,19871,19528,92850
,Austria,0,19,84802,417242,500479,515592,600464,708533,2827131
,Azerbaijan,0,0,1928,35353,101560,326549,794844,1028931,2289165
,Bahamas,0,0,99,1578,2933,3100,6403,39563,53676
,Bahrain,0,167,7765,48676,210502,575360,1074705,1395621,3312796
,Bangladesh,0,0,546,70283,731311,2836656,6049862,8252949,17941607
,Barbados,0,0,255,2071,2697,2860,3209,4480,15572
,Belarus,0,2,1465,150554,888892,1626878,2029325,2087843,6784959
,Belgium,0,26,89009,993613,1688377,1801706,1979139,2324543,8876413
,Belize,0,0,18,411,558,633,1208,12854,15682
,Benin,0,0,68,1178,6566,17757,46022,60710,132301
,Bhutan,0,0,46,167,561,1897,2700,4171,9542
,Bolivia,0,0,682,14801,137671,614758,1700323,2969064,5437299
,Bosnia and Herzegovina,0,0,2826,33408,68816,95167,241630,475022,916869
,Botswana,0,0,7,437,843,2211,14959,35451,53908
,Brazil,0,5,37127,1048506,7944285,28161222,62641865,98995624,198828634
,Brunei,0,0,1688,4089,4354,4230,4371,4272,23004
,Bulgaria,0,0,3576,25790,65828,105731,254933,427557,883415
,Burkina Faso,0,0,1901,15230,24013,27120,32311,37506,138081
,Burma,0,0,55,2408,5780,8018,10335,12980,39576
,Burundi,0,0,2,183,889,3219,8597,12462,25352
,Cabo Verde,0,0,49,1423,9336,23482,58038,94816,187144
,Cambodia,5,29,1225,3583,3804,3885,5473,7899,25903
,Cameroon,0,0,1067,30497,109504,295083,477610,551083,1464844
Alberta,Canada,0,0,5662,76102,200503,225082,286502,364744,1158595
British Columbia,Canada,4,128,9118,47020,74469,82436,99349,134722,447246
Diamond Princess,Canada,0,0,0,0,31,1,0,0,32
Grand Princess,Canada,0,0,184,390,403,390,403,390,2160
Manitoba,Canada,0,0,600,7106,8950,9225,10903,21738,58522
New Brunswick,Canada,0,0,473,3327,3756,4637,5198,5460,22851
Newfoundland and Labrador,Canada,0,0,863,7187,8066,7830,8148,8028,40122
Northwest Territories,Canada,0,0,6,139,155,150,155,150,755
Nova Scotia,Canada,0,0,931,16997,31814,31806,33052,32250,146850
Ontario,Canada,8,104,12339,287743,734991,1016712,1212409,1278195,4542501
Prince Edward Island,Canada,0,0,99,747,837,810,1055,1214,4762
Quebec,Canada,0,2,20545,473888,1287606,1616001,1772849,1830346,7001237
Saskatchewan,Canada,0,0,1172,8983,17798,21023,29783,45452,124211
Yukon,Canada,0,0,23,259,341,330,379,444,1776
,Central African Republic,0,0,41,444,11339,70765,134487,139774,356850
,Chad,0,0,35,797,14051,25427,27639,28936,96885
,Chile,0,14,18796,285413,1763115,6291295,9987599,11524323,29870555
Anhui,China,889,23988,30690,29722,30721,29730,30721,29730,206191
Beijing,China,716,9968,14867,17696,18383,21811,28802,28042,140285
Chongqing,China,956,14453,17878,17370,17949,17422,18060,17490,121578
Fujian,China,513,7557,9509,10577,11048,10834,11281,11120,72439
Gansu,China,127,2355,3888,4165,4309,4442,5168,5052,29506
Guangdong,China,1725,33907,43076,46777,49294,48619,51360,51365,326123
Guangxi,China,409,6136,7839,7620,7874,7620,7890,7650,53038
Guizhou,China,82,3404,4527,4392,4557,4410,4557,4410,30339
Hainan,China,272,4108,5208,5040,5225,5114,5301,5130,35398
Hebei,China,271,7186,9872,9817,10168,10111,10819,10602,68846
Heilongjiang,China,225,10685,14953,22837,29286,28406,29357,28431,164180
Henan,China,1266,31275,39472,38280,39556,38280,39556,38280,265965
Hong Kong,China,65,1543,8018,29443,32692,34000,58089,129411,293261
Hubei,China,22496,1316575,2098222,2038637,2112115,2044050,2112185,2044164,13788444
Hunan,China,1222,25620,31558,30569,31589,30570,31589,30570,213287
Inner Mongolia,China,96,1773,2451,5050,6636,7110,7697,7777,38590
Jiangsu,China,579,15176,19648,19560,20243,19599,20284,19849,134938
Jiangxi,China,773,22901,28998,28110,29047,27970,28892,27996,194687
Jilin,China,63,2219,2907,3083,4264,4650,4817,4710,26713
Liaoning,China,236,3167,3926,4337,4586,4548,5408,7791,33999
Macau,China,46,283,560,1335,1395,1356,1426,1380,7781
Ningxia,China,79,1682,2321,2250,2325,2250,2325,2250,15482
Qinghai,China,36,497,558,540,558,540,558,540,3827
Shaanxi,China,332,6168,7666,8014,9540,9420,9976,10432,61548
Shandong,China,738,15383,23655,23516,24436,23760,24652,24589,160729
Shanghai,China,580,8685,11887,17956,20559,20767,22635,24798,127867
Shanxi,China,159,3380,4141,5287,6136,5940,6202,6039,37284
Sichuan,China,686,12624,16794,16788,17430,17565,18604,18749,119240
Tianjin,China,177,3151,4408,5556,5930,5870,6259,6326,37677
Tibet,China,2,29,31,30,31,30,31,30,214
Xinjiang,China,70,1705,2356,2280,2356,2280,5256,25767,42070
Yunnan,China,313,4483,5450,5524,5735,5550,5826,5820,38701
Zhejiang,China,1809,31295,38092,37985,39308,38055,39360,38237,264141
,Colombia,0,0,6190,101704,492214,1745908,5680255,13800550,21826821
,Comoros,0,0,0,1,1116,5961,10233,12157,29468
