Province/State,Country/Region,January,February,March,April,May,June,July,August,Total_deaths
,Afghanistan,0,0,29,860,4994,14410,33392,40624,94309
,Albania,0,0,91,728,975,1192,3302,6661,12949
,Algeria,0,0,324,9197,16901,23334,32720,40918,123394
,Andorra,0,0,39,917,1518,1544,1612,1579,7209
,Angola,0,0,6,60,85,201,915,2519,3786
,Antigua and Barbuda,0,0,0,62,93,90,93,90,428
,Argentina,0,0,158,3482,11562,25996,69223,175314,285735
,Armenia,0,0,12,527,2012,8429,18701,24515,54196
Australian Capital Territory,Australia,0,0,2,73,93,90,93,90,441
New South Wales,Australia,0,0,120,750,1415,1446,1520,1535,6786
Northern Territory,Australia,0,0,0,0,0,0,0,0,0
Queensland,Australia,0,0,9,151,192,181,186,180,899
South Australia,Australia,0,0,0,88,124,120,124,120,576
Tasmania,Australia,0,0,1,183,403,390,403,390,1770
Victoria,Australia,0,0,21,394,567,577,1391,9764,12714
Western Australia,Australia,0,0,37,178,277,270,279,270,1311
,Austria,0,0,626,11663,19474,20458,21997,21790,96008
,Azerbaijan,0,0,37,429,1227,3787,10407,15028,30915
,Bahamas,0,0,0,235,341,330,347,742,1995
,Bahrain,0,0,41,190,349,1371,3672,5121,10744
,Bangladesh,0,0,49,2153,10746,35957,77720,109820,236445
,Barbados,0,0,0,122,217,210,217,210,976
,Belarus,0,0,1,1171,4986,9320,14953,18399,48830
,Belgium,0,0,3145,132664,273995,289249,303682,297337,1300072
,Belize,0,0,0,46,62,60,62,150,380
,Benin,0,0,0,25,73,246,876,1155,2375
,Bhutan,0,0,0,0,0,0,0,0,0
,Bolivia,0,0,11,887,5482,19291,62947,121209,209827
,Bosnia and Herzegovina,0,0,50,1272,3748,4973,7577,14201,31821
,Botswana,0,0,1,30,31,30,36,81,209
,Brazil,0,0,976,66571,509030,1322632,2370476,3224024,7493709
,Brunei,0,0,4,30,36,74,93,90,327
,Bulgaria,0,0,71,1111,3285,5409,9167,15013,34056
,Burkina Faso,0,0,86,921,1555,1590,1643,1632,7427
,Burma,0,0,1,110,186,180,186,180,843
,Burundi,0,0,0,18,31,30,31,30,140
,Cabo Verde,0,0,8,30,83,207,606,1002,1936
