Province/State,Country/Region,January,February,March,April,May,June,July,August,Total_recovered
,Afghanistan,0,0,26,2927,24129,184768,688117,814349,1714316
,Albania,0,0,241,7902,21760,32742,67686,115080,245411
,Algeria,0,0,594,24072,109804,233399,467472,795747,1631088
,Andorra,0,0,37,5636,18505,23239,24877,25769,98063
,Angola,0,0,1,129,466,1668,5708,21212,29184
,Antigua and Barbuda,0,0,0,125,561,629,1551,2467,5333
,Argentina,0,0,875,19590,84929,335157,1556787,5728675,7726013
,Armenia,0,0,205,12116,63541,222445,671719,1021908,1991934
Australian Capital Territory,Australia,0,0,11,2037,3216,3135,3302,3300,15001
New South Wales,Australia,4,92,124,26794,79532,82612,92226,89813,371197
Northern Territory,Australia,0,0,0,286,848,870,910,920,3834
Queensland,Australia,0,9,220,14806,31744,31547,32845,32312,143483
South Australia,Australia,0,26,102,7312,13428,13077,13614,13502,61061
Tasmania,Australia,0,0,47,1942,5815,6371,6666,6480,27321
Victoria,Australia,0,68,1662,29341,44181,50075,87582,287631,500540
Western Australia,Australia,0,0,141,8965,16724,17413,19184,19102,81529
,Austria,0,0,2883,241616,447388,481557,539229,621780,2334453
,Azerbaijan,0,0,211,16061,65682,180444,540422,938126,1740946
,Bahamas,0,0,8,281,1201,2124,2797,8778,15189
,Bahrain,0,0,3031,22965,100507,413158,943774,1296848,2780283
,Bangladesh,0,0,131,2059,139045,943347,3155922,4896862,9137366
,Barbados,0,0,0,531,1939,2515,2840,3573,11398
,Belarus,0,0,340,18498,302001,955147,1742259,1998337,5016582
,Belgium,0,13,9055,216946,439785,496435,535284,539636,2237154
,Belize,0,0,0,61,485,497,686,1318,3047
,Benin,0,0,1,486,2441,6793,20334,47838,77893
,Bhutan,0,0,0,73,166,718,2230,3152,6339
,Bolivia,0,0,0,938,14032,127986,520061,1132260,1795277
,Bosnia and Herzegovina,0,0,72,9154,41574,64619,113943,287209,516571
,Botswana,0,0,0,10,470,727,1336,3657,6200
,Brazil,0,0,290,400893,3206734,14780735,43861433,79117978,141368063
,Brunei,0,0,169,3069,4158,4140,4278,4154,19968
,Bulgaria,0,0,92,3572,19087,56205,127894,271407,478257
,Burkina Faso,0,0,161,7840,19258,23827,27517,30175,108778
,Burma,0,0,0,178,2799,5413,8264,9755,26409
,Burundi,0,0,0,44,430,2008,6092,9751,18325
,Cabo Verde,0,0,0,30,2731,11083,31237,69726,114807
,Cambodia,0,18,136,2586,3760,3772,4267,7081,21620
,Cameroon,0,0,23,9186,51653,193759,394819,483564,1133004
,Canada,0,45,3906,296982,1147850,1822913,2656592,3287473,9215761
,Central African Republic,0,0,0,131,463,10142,38882,51781,101399
,Chad,0,0,0,200,5006,21365,24737,25653,76961
,Chile,0,0,580,107500,642471,4792545,9051341,10722374,25316811
Anhui,China,7,9328,30226,29527,30535,29550,30535,29550,189258
